model,corpus,seed,epochs,weighted_f1,macro_f1
tapt:roberta-large,twd,944601,12.0,0.7533,0.7411
curated-tapt:roberta-large,twd,78516,14.0,0.7259,0.7181
curated-tapt:roberta-large,twd,944601,12.0,0.7284,0.7149
dapt-fomc+curated-tapt:roberta-large,twd,5768,21.0,0.6983,0.6875
dapt-fomc+curated-tapt:roberta-large,twd,78516,16.0,0.7347,0.7294
dapt-fomc+curated-tapt:roberta-large,twd,944601,11.0,0.7305,0.7177
frozen-dapt-fomc:roberta-large,twd,5768,,0.6377,0.6169
frozen-dapt-fomc:roberta-large,twd,78516,,0.6489,0.6309
frozen-dapt-fomc:roberta-large,twd,944601,,0.6347,0.611
frozen-tapt:roberta-large,twd,5768,,0.5853,0.5615
frozen-tapt:roberta-large,twd,78516,,0.6353,0.6193
frozen-tapt:roberta-large,twd,944601,,0.6243,0.6042
frozen-curated-tapt:roberta-large,twd,78516,,0.6341,0.6163
frozen-curated-tapt:roberta-large,twd,944601,,0.6296,0.6084
frozen-dapt-fomc+curated-tapt:roberta-large,twd,5768,,0.6255,0.6043
frozen-dapt-fomc+curated-tapt:roberta-large,twd,78516,,0.6449,0.628
frozen-dapt-fomc+curated-tapt:roberta-large,twd,944601,,0.6417,0.6199
curated-tapt:roberta-large,twd,5768,17.0,0.6806,0.6743
dapt-global:roberta-large,twd,78516,14.0,0.734,0.729
dapt-global:roberta-large,twd,944601,23.0,0.7439,0.7282
dapt-fomc-x4:roberta-large,twd,5768,19.0,0.7103,0.6984
dapt-fomc-x4:roberta-large,twd,78516,12.0,0.7433,0.7374
dapt-fomc-x4:roberta-large,twd,944601,16.0,0.7154,0.7028
dapt-global+curated-tapt:roberta-large,twd,5768,27.0,0.6906,0.6801
dapt-global+curated-tapt:roberta-large,twd,78516,13.0,0.7318,0.7238
dapt-global+curated-tapt:roberta-large,twd,944601,20.0,0.7323,0.7175
frozen-curated-tapt:roberta-large,twd,5768,,0.6291,0.6103
frozen-dapt-global:roberta-large,twd,5768,,0.6147,0.5938
frozen-dapt-global:roberta-large,twd,78516,,0.6563,0.6402
frozen-dapt-global:roberta-large,twd,944601,,0.6385,0.6162
frozen-dapt-fomc-x4:roberta-large,twd,5768,,0.6325,0.6149
frozen-dapt-fomc-x4:roberta-large,twd,78516,,0.6261,0.609
frozen-dapt-fomc-x4:roberta-large,twd,944601,,0.6411,0.6208
frozen-dapt-global+curated-tapt:roberta-large,twd,5768,,0.625,0.604
frozen-dapt-global+curated-tapt:roberta-large,twd,78516,,0.6315,0.6143
frozen-dapt-global+curated-tapt:roberta-large,twd,944601,,0.6593,0.6417
dapt-fomc:roberta-large,twd,5768,19,0.3558,0.2666
dapt-global:roberta-large,twd,5768,30,0.7127,0.7001
tapt:roberta-large,twd,5768,11,0.7255,0.7143
dapt-global+tapt:roberta-large,twd,5768,12,0.7011,0.6897
dapt-global+tapt:roberta-large,twd,78516,11,0.725,0.721
dapt-global+tapt:roberta-large,twd,944601,17,0.7491,0.7382
frozen-dapt-global+tapt:roberta-large,twd,5768,,0.5937,0.5714
frozen-dapt-global+tapt:roberta-large,twd,78516,,0.6425,0.6204
frozen-dapt-global+tapt:roberta-large,twd,944601,,0.6272,0.6053
subset-125:roberta-large,twd,5768,15,0.4724,0.4332
subset-125:roberta-large,twd,78516,19,0.4866,0.4573
subset-125:roberta-large,twd,944601,17,0.4942,0.4721
subset-250:roberta-large,twd,5768,25,0.5209,0.4767
subset-250:roberta-large,twd,78516,16,0.5422,0.5123
subset-250:roberta-large,twd,944601,21,0.5897,0.55
subset-500:roberta-large,twd,5768,26,0.649,0.635
subset-500:roberta-large,twd,78516,20,0.6327,0.6153
subset-500:roberta-large,twd,944601,20,0.6762,0.6508
subset-1000:roberta-large,twd,5768,12,0.6649,0.653
subset-1000:roberta-large,twd,78516,14,0.6814,0.676
subset-1000:roberta-large,twd,944601,15,0.7145,0.6972
own:roberta-large,ecb-lc,78516,24,0.6403,0.6367
borrowed:roberta-large,ecb-lc,78516,12,0.7653,0.766
own:roberta-large,boe-lc,78516,18,0.7361,0.7355
borrowed:roberta-large,boe-lc,78516,12,0.7708,0.7688
own:roberta-large,boj-lc,78516,8,0.3473,0.3064
borrowed:roberta-large,boj-lc,78516,11,0.7103,0.6984
