model,seed,lr,batch_size,epochs,val_ce,val_acc,val_f1,val_macro_f1
roberta-base,78516,2e-05,8,28,1.2628,0.7323,0.7339,0.7103
roberta-base,78516,1e-05,8,12,0.8618,0.7298,0.7314,0.7083
roberta-base,78516,5e-06,8,14,0.9612,0.7222,0.7227,0.6945
roberta-base,944601,2e-05,32,12,0.8807,0.6869,0.6916,0.6733
roberta-base,944601,1e-05,32,39,1.5825,0.7197,0.722,0.7051
roberta-base,944601,5e-06,32,16,0.8916,0.6869,0.6898,0.6683
roberta-base,944601,2e-05,16,31,1.5521,0.7348,0.735,0.7145
roberta-base,944601,1e-05,16,26,1.4603,0.7071,0.711,0.6992
roberta-base,944601,5e-06,16,23,1.2804,0.7096,0.7126,0.698
roberta-base,944601,2e-05,8,14,1.1124,0.697,0.7023,0.6819
roberta-base,944601,1e-05,8,18,1.4344,0.7045,0.7064,0.6853
roberta-base,944601,5e-06,8,23,1.4072,0.7045,0.7087,0.6941
roberta-large,5768,2e-05,32,21,1.1974,0.7449,0.7475,0.7389
roberta-large,5768,1e-05,32,20,1.2986,0.7222,0.7257,0.7198
roberta-large,5768,5e-06,32,23,1.189,0.7323,0.7346,0.728
roberta-large,5768,2e-05,16,17,1.0092,0.75,0.7521,0.7421
roberta-large,5768,1e-05,16,18,1.0294,0.7727,0.7722,0.7594
roberta-large,5768,5e-06,16,17,1.0949,0.7323,0.7333,0.725
roberta-large,5768,2e-05,8,8,1.1203,0.4848,0.3166,0.2177
roberta-large,5768,1e-05,8,13,0.7612,0.7348,0.7389,0.7287
roberta-large,5768,5e-06,8,23,1.5358,0.7475,0.7461,0.7306
roberta-large,78516,2e-05,32,24,1.6681,0.7348,0.7345,0.7142
roberta-large,78516,1e-05,32,19,1.5066,0.7222,0.7243,0.6996
roberta-large,78516,5e-06,32,16,1.0421,0.7172,0.7167,0.6894
roberta-large,78516,2e-05,16,11,1.098,0.5303,0.3675,0.231
roberta-large,78516,1e-05,16,18,1.3919,0.7323,0.7355,0.7131
roberta-large,78516,5e-06,16,28,1.5813,0.7374,0.7376,0.71
